epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3719.68,0.44596,0.43722,0.38597,0.93656,0.98289,1,0.995,0.8955,0.98289,1,0.995,0.72205,0.78528,1.18312,0.63478,1.48621,0.0002576,0.0002576,0.0002576
90,3762.96,0.38931,0.2729,0.33722,0.88952,0.98306,1,0.995,0.8955,0.98306,1,0.995,0.74855,0.72023,1.14386,0.56843,1.41879,0.0002378,0.0002378,0.0002378
91,3805.79,0.21624,0.25306,0.33895,0.46736,0.98306,1,0.995,0.8955,0.98306,1,0.995,0.74855,0.72023,1.14386,0.56843,1.41879,0.000218,0.000218,0.000218
92,3847.6,0.36683,0.32856,0.29709,0.89249,0.98294,1,0.995,0.8955,0.98294,1,0.995,0.74964,0.68438,1.09382,0.47885,1.34098,0.0001982,0.0001982,0.0001982
93,3888.93,0.39469,0.17768,0.37947,0.84164,0.98294,1,0.995,0.8955,0.98294,1,0.995,0.74964,0.68438,1.09382,0.47885,1.34098,0.0001784,0.0001784,0.0001784
94,3930.57,0.50811,0.40506,0.42886,0.88578,0.98257,1,0.995,0.92389,0.98257,1,0.995,0.796,0.65762,1.04393,0.44279,1.31764,0.0001586,0.0001586,0.0001586
95,3971.57,0.42157,0.2344,0.3891,0.86735,0.98257,1,0.995,0.92389,0.98257,1,0.995,0.796,0.65762,1.04393,0.44279,1.31764,0.0001388,0.0001388,0.0001388
96,4015.95,0.65406,0.26686,0.46941,0.84037,0.98261,1,0.995,0.9245,0.98261,1,0.995,0.796,0.63763,1.00291,0.44186,1.31881,0.000119,0.000119,0.000119
97,4058.56,0.52848,0.61762,0.47772,0.86254,0.98261,1,0.995,0.9245,0.98261,1,0.995,0.796,0.63763,1.00291,0.44186,1.31881,9.92e-05,9.92e-05,9.92e-05
98,4103.15,0.42929,0.35853,0.42839,0.91081,0.98273,1,0.995,0.92389,0.98273,1,0.995,0.82439,0.63055,0.96777,0.44819,1.31635,7.94e-05,7.94e-05,7.94e-05
99,4144.23,0.37724,0.27668,0.36022,0.88406,0.98273,1,0.995,0.92389,0.98273,1,0.995,0.82439,0.63055,0.96777,0.44819,1.31635,5.96e-05,5.96e-05,5.96e-05
100,4186.3,0.35043,0.3966,0.32764,0.80705,0.9829,1,0.995,0.92308,0.9829,1,0.995,0.82358,0.62544,0.94997,0.47367,1.32317,3.98e-05,3.98e-05,3.98e-05
